id,university_id,faculty_id,department_id,code,name,level,credits,semester,course_type
ug_business_and_management_studies_accounting_course_1,ug,ug_business_and_management_studies,ug_business_and_management_studies_accounting,A101,Financial Accounting,100,3,Semester 1,core
ug_business_and_management_studies_accounting_course_2,ug,ug_business_and_management_studies,ug_business_and_management_studies_accounting,A102,Cost Accounting,200,3,Semester 2,core
ug_business_and_management_studies_accounting_course_3,ug,ug_business_and_management_studies,ug_business_and_management_studies_accounting,A103,Auditing,300,3,Semester 1,core
ug_business_and_management_studies_accounting_course_4,ug,ug_business_and_management_studies,ug_business_and_management_studies_accounting,A104,Taxation,400,3,Semester 2,core
ug_business_and_management_studies_banking_and_finance_course_1,ug,ug_business_and_management_studies,ug_business_and_management_studies_banking_and_finance,BAF101,Corporate Finance,100,3,Semester 1,core
ug_business_and_management_studies_banking_and_finance_course_2,ug,ug_business_and_management_studies,ug_business_and_management_studies_banking_and_finance,BAF102,Financial Markets,200,3,Semester 2,core
ug_business_and_management_studies_banking_and_finance_course_3,ug,ug_business_and_management_studies,ug_business_and_management_studies_banking_and_finance,BAF103,Investment Analysis,300,3,Semester 1,core
ug_business_and_management_studies_banking_and_finance_course_4,ug,ug_business_and_management_studies,ug_business_and_management_studies_banking_and_finance,BAF104,Risk Management,400,3,Semester 2,core
ug_business_and_management_studies_marketing_course_1,ug,ug_business_and_management_studies,ug_business_and_management_studies_marketing,M101,Principles of Marketing,100,3,Semester 1,core
ug_business_and_management_studies_marketing_course_2,ug,ug_business_and_management_studies,ug_business_and_management_studies_marketing,M102,Consumer Behaviour,200,3,Semester 2,core
ug_business_and_management_studies_marketing_course_3,ug,ug_business_and_management_studies,ug_business_and_management_studies_marketing,M103,Digital Marketing,300,3,Semester 1,core
ug_business_and_management_studies_marketing_course_4,ug,ug_business_and_management_studies,ug_business_and_management_studies_marketing,M104,Sales Management,400,3,Semester 2,core
ug_business_and_management_studies_human_resource_management_course_1,ug,ug_business_and_management_studies,ug_business_and_management_studies_human_resource_management,HRM101,Organizational Behaviour,100,3,Semester 1,core
ug_business_and_management_studies_human_resource_management_course_2,ug,ug_business_and_management_studies,ug_business_and_management_studies_human_resource_management,HRM102,Recruitment and Selection,200,3,Semester 2,core
ug_business_and_management_studies_human_resource_management_course_3,ug,ug_business_and_management_studies,ug_business_and_management_studies_human_resource_management,HRM103,Labour Relations,300,3,Semester 1,core
ug_business_and_management_studies_human_resource_management_course_4,ug,ug_business_and_management_studies,ug_business_and_management_studies_human_resource_management,HRM104,Performance Management,400,3,Semester 2,core
ug_business_and_management_studies_procurement_and_supply_chain_course_1,ug,ug_business_and_management_studies,ug_business_and_management_studies_procurement_and_supply_chain,PASC101,Procurement Principles,100,3,Semester 1,core
ug_business_and_management_studies_procurement_and_supply_chain_course_2,ug,ug_business_and_management_studies,ug_business_and_management_studies_procurement_and_supply_chain,PASC102,Logistics Management,200,3,Semester 2,core
ug_business_and_management_studies_procurement_and_supply_chain_course_3,ug,ug_business_and_management_studies,ug_business_and_management_studies_procurement_and_supply_chain,PASC103,Inventory Control,300,3,Semester 1,core
ug_business_and_management_studies_procurement_and_supply_chain_course_4,ug,ug_business_and_management_studies,ug_business_and_management_studies_procurement_and_supply_chain,PASC104,Contract Management,400,3,Semester 2,core
ug_business_and_management_studies_business_administration_course_1,ug,ug_business_and_management_studies,ug_business_and_management_studies_business_administration,BA101,Business Law,100,3,Semester 1,core
ug_business_and_management_studies_business_administration_course_2,ug,ug_business_and_management_studies,ug_business_and_management_studies_business_administration,BA102,Entrepreneurship,200,3,Semester 2,core
ug_business_and_management_studies_business_administration_course_3,ug,ug_business_and_management_studies,ug_business_and_management_studies_business_administration,BA103,Strategic Management,300,3,Semester 1,core
ug_business_and_management_studies_business_administration_course_4,ug,ug_business_and_management_studies,ug_business_and_management_studies_business_administration,BA104,Operations Management,400,3,Semester 2,core
ug_computing_and_information_technology_computer_science_course_1,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_computer_science,CS101,Programming Fundamentals,100,3,Semester 1,core
ug_computing_and_information_technology_computer_science_course_2,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_computer_science,CS102,Data Structures and Algorithms,200,3,Semester 2,core
ug_computing_and_information_technology_computer_science_course_3,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_computer_science,CS103,Database Systems,300,3,Semester 1,core
ug_computing_and_information_technology_computer_science_course_4,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_computer_science,CS104,Operating Systems,400,3,Semester 2,core
ug_computing_and_information_technology_information_technology_course_1,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_information_technology,IT101,Networking,100,3,Semester 1,core
ug_computing_and_information_technology_information_technology_course_2,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_information_technology,IT102,Web Technologies,200,3,Semester 2,core
ug_computing_and_information_technology_information_technology_course_3,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_information_technology,IT103,Systems Administration,300,3,Semester 1,core
ug_computing_and_information_technology_information_technology_course_4,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_information_technology,IT104,Cloud Computing,400,3,Semester 2,core
ug_computing_and_information_technology_information_systems_course_1,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_information_systems,IS101,Systems Analysis and Design,100,3,Semester 1,core
ug_computing_and_information_technology_information_systems_course_2,ug,ug_computing_and_information_technology,ug_computing_and_information_technology_information_systems,IS102,Database Management,200,3,Semester 2,core
