id,university_id,faculty_id,name
ug_business_and_management_studies_accounting,ug,ug_business_and_management_studies,Accounting
ug_business_and_management_studies_banking_and_finance,ug,ug_business_and_management_studies,Banking and Finance
ug_business_and_management_studies_marketing,ug,ug_business_and_management_studies,Marketing
ug_business_and_management_studies_human_resource_management,ug,ug_business_and_management_studies,Human Resource Management
ug_business_and_management_studies_procurement_and_supply_chain,ug,ug_business_and_management_studies,Procurement and Supply Chain
ug_business_and_management_studies_business_administration,ug,ug_business_and_management_studies,Business Administration
ug_computing_and_information_technology_computer_science,ug,ug_computing_and_information_technology,Computer Science
ug_computing_and_information_technology_information_technology,ug,ug_computing_and_information_technology,Information Technology
ug_computing_and_information_technology_information_systems,ug,ug_computing_and_information_technology,Information Systems
ug_computing_and_information_technology_cybersecurity,ug,ug_computing_and_information_technology,Cybersecurity
ug_computing_and_information_technology_data_science,ug,ug_computing_and_information_technology,Data Science
ug_computing_and_information_technology_software_engineering,ug,ug_computing_and_information_technology,Software Engineering
ug_engineering_and_built_environment_civil_engineering,ug,ug_engineering_and_built_environment,Civil Engineering
ug_engineering_and_built_environment_electrical_and_electronic_engineering,ug,ug_engineering_and_built_environment,Electrical and Electronic Engineering
ug_engineering_and_built_environment_mechanical_engineering,ug,ug_engineering_and_built_environment,Mechanical Engineering
ug_engineering_and_built_environment_computer_engineering,ug,ug_engineering_and_built_environment,Computer Engineering
ug_engineering_and_built_environment_building_technology,ug,ug_engineering_and_built_environment,Building Technology
ug_health_sciences_nursing,ug,ug_health_sciences,Nursing
ug_health_sciences_midwifery,ug,ug_health_sciences,Midwifery
ug_health_sciences_public_health,ug,ug_health_sciences,Public Health
ug_health_sciences_medical_laboratory_science,ug,ug_health_sciences,Medical Laboratory Science
ug_health_sciences_physician_assistantship,ug,ug_health_sciences,Physician Assistantship
ug_health_sciences_health_information_management,ug,ug_health_sciences,Health Information Management
ug_arts_humanities_and_social_sciences_political_science,ug,ug_arts_humanities_and_social_sciences,Political Science
ug_arts_humanities_and_social_sciences_economics,ug,ug_arts_humanities_and_social_sciences,Economics
ug_arts_humanities_and_social_sciences_sociology,ug,ug_arts_humanities_and_social_sciences,Sociology
ug_arts_humanities_and_social_sciences_psychology,ug,ug_arts_humanities_and_social_sciences,Psychology
ug_arts_humanities_and_social_sciences_languages,ug,ug_arts_humanities_and_social_sciences,Languages
ug_arts_humanities_and_social_sciences_history,ug,ug_arts_humanities_and_social_sciences,History
ug_education_educational_studies,ug,ug_education,Educational Studies
ug_education_curriculum_and_instruction,ug,ug_education,Curriculum and Instruction
ug_education_educational_leadership,ug,ug_education,Educational Leadership
ug_education_guidance_and_counselling,ug,ug_education,Guidance and Counselling
ug_natural_and_applied_sciences_mathematics,ug,ug_natural_and_applied_sciences,Mathematics
ug_natural_and_applied_sciences_statistics,ug,ug_natural_and_applied_sciences,Statistics
ug_natural_and_applied_sciences_physics,ug,ug_natural_and_applied_sciences,Physics
ug_natural_and_applied_sciences_chemistry,ug,ug_natural_and_applied_sciences,Chemistry
ug_natural_and_applied_sciences_biological_sciences,ug,ug_natural_and_applied_sciences,Biological Sciences
ug_natural_and_applied_sciences_environmental_science,ug,ug_natural_and_applied_sciences,Environmental Science
knust_business_and_management_studies_accounting,knust,knust_business_and_management_studies,Accounting
knust_business_and_management_studies_banking_and_finance,knust,knust_business_and_management_studies,Banking and Finance
knust_business_and_management_studies_marketing,knust,knust_business_and_management_studies,Marketing
knust_business_and_management_studies_human_resource_management,knust,knust_business_and_management_studies,Human Resource Management
knust_business_and_management_studies_procurement_and_supply_chain,knust,knust_business_and_management_studies,Procurement and Supply Chain
knust_business_and_management_studies_business_administration,knust,knust_business_and_management_studies,Business Administration
knust_computing_and_information_technology_computer_science,knust,knust_computing_and_information_technology,Computer Science
knust_computing_and_information_technology_information_technology,knust,knust_computing_and_information_technology,Information Technology
knust_computing_and_information_technology_information_systems,knust,knust_computing_and_information_technology,Information Systems
knust_computing_and_information_technology_cybersecurity,knust,knust_computing_and_information_technology,Cybersecurity
knust_computing_and_information_technology_data_science,knust,knust_computing_and_information_technology,Data Science
knust_computing_and_information_technology_software_engineering,knust,knust_computing_and_information_technology,Software Engineering
knust_engineering_and_built_environment_civil_engineering,knust,knust_engineering_and_built_environment,Civil Engineering
knust_engineering_and_built_environment_electrical_and_electronic_engineering,knust,knust_engineering_and_built_environment,Electrical and Electronic Engineering
knust_engineering_and_built_environment_mechanical_engineering,knust,knust_engineering_and_built_environment,Mechanical Engineering
knust_engineering_and_built_environment_computer_engineering,knust,knust_engineering_and_built_environment,Computer Engineering
knust_engineering_and_built_environment_building_technology,knust,knust_engineering_and_built_environment,Building Technology
knust_health_sciences_nursing,knust,knust_health_sciences,Nursing
knust_health_sciences_midwifery,knust,knust_health_sciences,Midwifery
knust_health_sciences_public_health,knust,knust_health_sciences,Public Health
knust_health_sciences_medical_laboratory_science,knust,knust_health_sciences,Medical Laboratory Science
knust_health_sciences_physician_assistantship,knust,knust_health_sciences,Physician Assistantship
knust_health_sciences_health_information_management,knust,knust_health_sciences,Health Information Management
knust_arts_humanities_and_social_sciences_political_science,knust,knust_arts_humanities_and_social_sciences,Political Science
knust_arts_humanities_and_social_sciences_economics,knust,knust_arts_humanities_and_social_sciences,Economics
knust_arts_humanities_and_social_sciences_sociology,knust,knust_arts_humanities_and_social_sciences,Sociology
knust_arts_humanities_and_social_sciences_psychology,knust,knust_arts_humanities_and_social_sciences,Psychology
knust_arts_humanities_and_social_sciences_languages,knust,knust_arts_humanities_and_social_sciences,Languages
knust_arts_humanities_and_social_sciences_history,knust,knust_arts_humanities_and_social_sciences,History
knust_education_educational_studies,knust,knust_education,Educational Studies
knust_education_curriculum_and_instruction,knust,knust_education,Curriculum and Instruction
knust_education_educational_leadership,knust,knust_education,Educational Leadership
knust_education_guidance_and_counselling,knust,knust_education,Guidance and Counselling
knust_natural_and_applied_sciences_mathematics,knust,knust_natural_and_applied_sciences,Mathematics
knust_natural_and_applied_sciences_statistics,knust,knust_natural_and_applied_sciences,Statistics
knust_natural_and_applied_sciences_physics,knust,knust_natural_and_applied_sciences,Physics
knust_natural_and_applied_sciences_chemistry,knust,knust_natural_and_applied_sciences,Chemistry
knust_natural_and_applied_sciences_biological_sciences,knust,knust_natural_and_applied_sciences,Biological Sciences
knust_natural_and_applied_sciences_environmental_science,knust,knust_natural_and_applied_sciences,Environmental Science
ucc_business_and_management_studies_accounting,ucc,ucc_business_and_management_studies,Accounting
ucc_business_and_management_studies_banking_and_finance,ucc,ucc_business_and_management_studies,Banking and Finance
ucc_business_and_management_studies_marketing,ucc,ucc_business_and_management_studies,Marketing
ucc_business_and_management_studies_human_resource_management,ucc,ucc_business_and_management_studies,Human Resource Management
ucc_business_and_management_studies_procurement_and_supply_chain,ucc,ucc_business_and_management_studies,Procurement and Supply Chain
